brand,category,cpu,ram,ram_type,storage,ssd,ssd_size,graphics_card,graphics_card_size,size_inch,os,battery_wh,weight_kg,price
MSI,Student,Ryzen 3,12,DDR4,256GB,Yes,256GB,Nvidia,6GB,14.0,Windows 11,80,1.2,89339
HP,Home,Intel i5,24,DDR3,512GB,Yes,2TB,AMD,4GB,16.0,Windows 10,80,1.6,105021
Lenovo,Home,Intel i5,24,DDR3,256GB,No,,AMD,8GB,16.0,Windows 11,80,1.4,103622
Dell,Home,Ryzen 7,24,DDR5,256GB,Yes,256GB,Integrated,,16.0,Windows 11,80,1.6,92564
MSI,Home,Ryzen 3,16,DDR3,1TB,Yes,2TB,Nvidia,8GB,14.0,Windows 11,80,2.0,111328
Acer,Business,Ryzen 3,24,DDR5,1TB,Yes,512GB,Nvidia,2GB,15.6,Windows 11,60,1.4,116806
Samsung,Student,Intel i3,8,DDR4,2TB,Yes,1TB,Integrated,,15.6,Windows 11,70,1.2,75232
Dell,Home,Intel i5,24,DDR4,512GB,Yes,2TB,Integrated,,13.0,Windows 11,45,1.6,86815
Samsung,Gaming,Intel i7,24,DDR4,1TB,Yes,1TB,Integrated,,16.0,Windows 11,55,1.6,119059
Dell,Home,Ryzen 7,4,DDR4,512GB,Yes,2TB,Integrated,,15.6,Windows 10,45,2.6,67590
Acer,Gaming,Intel i7,4,DDR4,512GB,Yes,256GB,AMD,4GB,16.0,Windows 10,45,2.6,97100
Acer,Business,Ryzen 3,8,DDR4,256GB,Yes,2TB,Integrated,,13.0,Windows 11,60,1.8,58606
HP,Gaming,Intel i5,8,DDR3,256GB,Yes,2TB,AMD,4GB,16.0,Windows 11,60,1.8,91435
Samsung,Student,Ryzen 5,4,DDR5,512GB,Yes,1TB,AMD,4GB,14.0,Windows 10,50,2.0,73614
Lenovo,Home,Ryzen 3,24,DDR5,2TB,Yes,512GB,Integrated,,15.6,Windows 11,80,2.6,99719
Asus,Gaming,Intel i7,4,DDR4,512GB,Yes,1TB,Nvidia,2GB,13.0,Windows 10,50,2.6,102519
Acer,Business,Intel i3,12,DDR5,2TB,No,,AMD,8GB,16.0,Windows 11,45,2.0,106326
Samsung,Student,Ryzen 5,4,DDR3,512GB,No,,Nvidia,2GB,15.6,Windows 11,70,1.2,73435
Apple,Business,Apple M2,8,Unified,2TB,Yes,2TB,Nvidia,8GB,15.6,macOS,60,1.6,189630
Asus,Gaming,Intel i7,16,DDR5,1TB,Yes,2TB,Nvidia,2GB,16.0,Windows 11,45,1.6,127067
MSI,Home,Ryzen 3,24,DDR5,2TB,Yes,512GB,AMD,8GB,16.0,Windows 10,45,1.4,124187
Lenovo,Student,Ryzen 3,4,DDR3,512GB,Yes,1TB,AMD,8GB,13.0,Windows 11,50,2.6,75929
Apple,Home,Apple M1,16,Unified,1TB,Yes,1TB,Integrated,,16.0,macOS,60,1.4,138741
Lenovo,Business,Intel i5,12,DDR3,2TB,Yes,1TB,Nvidia,6GB,15.6,Windows 10,70,2.0,123406
Apple,Gaming,Apple M2,24,Unified,2TB,Yes,2TB,AMD,6GB,14.0,macOS,80,1.4,212684
Samsung,Gaming,Ryzen 3,16,DDR4,2TB,Yes,512GB,AMD,2GB,14.0,Windows 10,70,2.0,115719
Asus,Business,Intel i3,8,DDR3,2TB,Yes,512GB,Integrated,,15.6,Windows 11,55,2.0,83674
Samsung,Home,Intel i7,16,DDR4,256GB,Yes,512GB,AMD,6GB,14.0,Windows 11,80,1.2,103555
Asus,Home,Ryzen 3,12,DDR5,256GB,Yes,256GB,Integrated,,15.6,Windows 10,60,1.4,59000
Samsung,Gaming,Intel i5,24,DDR3,2TB,Yes,512GB,AMD,4GB,14.0,Windows 10,60,2.3,136080
Apple,Student,Apple M1,16,Unified,1TB,Yes,512GB,Integrated,,15.6,macOS,70,1.6,140234
Samsung,Student,Ryzen 3,16,DDR3,2TB,Yes,2TB,AMD,6GB,15.6,Windows 11,45,2.6,110392
Samsung,Student,Intel i3,16,DDR5,1TB,Yes,512GB,AMD,6GB,14.0,Windows 10,80,1.4,99086
Acer,Gaming,Ryzen 7,4,DDR5,1TB,Yes,256GB,AMD,4GB,13.0,Windows 10,55,1.6,108403
Lenovo,Gaming,Intel i5,24,DDR5,1TB,Yes,1TB,Nvidia,8GB,15.6,Windows 11,80,2.6,141774
Asus,Business,Intel i3,16,DDR3,1TB,Yes,2TB,Integrated,,13.0,Windows 10,60,1.6,85511
Acer,Business,Ryzen 7,8,DDR3,2TB,Yes,1TB,Nvidia,4GB,13.0,Windows 11,80,2.6,122803
Acer,Business,Intel i3,4,DDR3,1TB,No,,Integrated,,14.0,Windows 10,70,1.4,61183
Apple,Student,Apple M2,24,Unified,512GB,Yes,256GB,Nvidia,8GB,15.6,macOS,45,2.3,190035
Dell,Business,Ryzen 3,4,DDR4,1TB,Yes,1TB,Integrated,,15.6,Windows 10,50,1.2,66725
Asus,Gaming,Ryzen 7,12,DDR3,512GB,No,,Nvidia,4GB,13.0,Windows 10,70,1.4,116803
Dell,Gaming,Intel i7,4,DDR5,1TB,Yes,512GB,Nvidia,6GB,14.0,Windows 10,45,2.3,114211
Lenovo,Home,Intel i7,12,DDR5,256GB,Yes,256GB,Integrated,,16.0,Windows 10,70,1.2,73520
Apple,Business,Apple M2,24,Unified,256GB,Yes,512GB,Nvidia,2GB,15.6,macOS,60,2.3,178255
HP,Business,Ryzen 3,4,DDR5,2TB,Yes,2TB,Integrated,,13.0,Windows 11,55,2.0,74215
Asus,Gaming,Intel i7,24,DDR4,1TB,Yes,2TB,Integrated,,13.0,Windows 11,80,2.3,121516
Dell,Business,Ryzen 3,12,DDR4,2TB,Yes,256GB,Integrated,,15.6,Windows 10,80,1.6,88066
Lenovo,Business,Intel i3,4,DDR3,2TB,Yes,1TB,Nvidia,2GB,15.6,Windows 10,80,1.2,95365
MSI,Business,Ryzen 7,24,DDR4,1TB,Yes,512GB,Integrated,,16.0,Windows 10,50,2.6,110886
MSI,Student,Intel i3,8,DDR5,2TB,Yes,256GB,AMD,6GB,13.0,Windows 11,50,1.6,97756
Acer,Student,Intel i7,8,DDR3,2TB,Yes,256GB,Integrated,,14.0,Windows 10,60,1.8,91716
MSI,Gaming,Intel i7,12,DDR5,256GB,Yes,512GB,Integrated,,13.0,Windows 11,80,1.2,90229
Apple,Business,Apple M2,24,Unified,2TB,Yes,512GB,Nvidia,2GB,15.6,macOS,60,1.2,201320
Apple,Student,Apple M1,8,Unified,2TB,No,,Integrated,,14.0,macOS,55,1.4,130124
Acer,Student,Intel i7,16,DDR3,2TB,Yes,2TB,AMD,4GB,15.6,Windows 10,45,1.8,117346
Samsung,Home,Ryzen 3,24,DDR4,2TB,Yes,2TB,Integrated,,16.0,Windows 10,45,1.6,97407
Apple,Student,Apple M1,16,Unified,256GB,Yes,2TB,AMD,8GB,15.6,macOS,80,1.6,151815
MSI,Gaming,Intel i3,24,DDR5,512GB,No,,Integrated,,14.0,Windows 10,50,1.2,90199
Acer,Gaming,Intel i5,4,DDR5,512GB,No,,AMD,8GB,16.0,Windows 10,80,2.0,97267
MSI,Student,Intel i5,16,DDR3,2TB,Yes,1TB,AMD,6GB,13.0,Windows 11,55,1.8,114702
HP,Home,Intel i7,4,DDR3,2TB,Yes,256GB,Integrated,,14.0,Windows 11,55,2.0,85896
Lenovo,Home,Ryzen 3,4,DDR4,512GB,Yes,2TB,Nvidia,4GB,15.6,Windows 10,55,1.6,75173
Samsung,Student,Ryzen 7,12,DDR5,256GB,Yes,2TB,Integrated,,14.0,Windows 10,55,1.2,78773
Lenovo,Student,Intel i7,24,DDR3,256GB,Yes,2TB,AMD,6GB,14.0,Windows 11,80,2.3,117614
Asus,Business,Ryzen 5,12,DDR3,1TB,Yes,512GB,Integrated,,16.0,Windows 11,50,1.4,83126
Lenovo,Home,Intel i7,24,DDR5,256GB,Yes,512GB,AMD,4GB,14.0,Windows 10,50,2.6,113675
Lenovo,Business,Intel i3,8,DDR4,2TB,Yes,2TB,Integrated,,14.0,Windows 11,55,2.6,81842
Dell,Student,Ryzen 7,12,DDR4,2TB,Yes,2TB,Nvidia,4GB,14.0,Windows 11,55,1.2,123252
Apple,Student,Apple M1,24,Unified,256GB,Yes,512GB,Integrated,,14.0,macOS,60,1.2,137818
Apple,Student,Apple M1,16,Unified,256GB,Yes,1TB,Integrated,,13.0,macOS,55,1.4,124230
MSI,Home,Ryzen 7,8,DDR3,256GB,Yes,2TB,AMD,4GB,16.0,Windows 11,60,2.0,85043
Asus,Home,Intel i7,24,DDR3,2TB,Yes,1TB,Integrated,,13.0,Windows 10,45,1.4,115439
Apple,Home,Apple M1,16,Unified,256GB,Yes,512GB,Nvidia,6GB,16.0,macOS,45,2.0,153890
Dell,Business,Intel i5,12,DDR5,256GB,No,,AMD,2GB,16.0,Windows 10,60,1.2,85207
Samsung,Student,Intel i7,4,DDR4,1TB,Yes,256GB,Nvidia,6GB,14.0,Windows 10,45,1.6,103472
MSI,Gaming,Ryzen 7,16,DDR5,512GB,Yes,256GB,Nvidia,8GB,13.0,Windows 11,55,1.4,131358
Dell,Home,Intel i7,16,DDR5,2TB,Yes,512GB,Integrated,,13.0,Windows 11,80,1.6,102238
Asus,Student,Ryzen 3,16,DDR5,2TB,Yes,512GB,AMD,8GB,15.6,Windows 11,70,1.6,110676
Samsung,Home,Ryzen 3,12,DDR5,1TB,Yes,1TB,AMD,6GB,16.0,Windows 10,70,2.3,92490
Lenovo,Business,Intel i7,12,DDR3,2TB,Yes,256GB,Integrated,,16.0,Windows 11,55,2.0,106565
Lenovo,Home,Intel i5,8,DDR3,256GB,Yes,1TB,Integrated,,13.0,Windows 11,70,1.4,62562
Apple,Student,Apple M2,16,Unified,256GB,Yes,1TB,Integrated,,15.6,macOS,50,1.2,139212
Lenovo,Business,Ryzen 5,4,DDR5,1TB,Yes,2TB,Integrated,,15.6,Windows 11,80,1.8,71639
Asus,Gaming,Intel i3,16,DDR3,256GB,Yes,1TB,AMD,2GB,15.6,Windows 11,55,2.6,92290
Lenovo,Student,Ryzen 5,8,DDR3,512GB,Yes,2TB,Integrated,,15.6,Windows 10,60,2.6,66519
Lenovo,Home,Intel i3,16,DDR4,2TB,Yes,256GB,Integrated,,15.6,Windows 11,80,1.2,86686
Apple,Student,Apple M1,24,Unified,512GB,Yes,512GB,Integrated,,13.0,macOS,45,2.0,141253
Acer,Gaming,Intel i5,8,DDR5,1TB,No,,AMD,6GB,13.0,Windows 11,55,1.4,105202
Acer,Gaming,Ryzen 7,24,DDR5,256GB,Yes,512GB,AMD,4GB,14.0,Windows 11,80,2.0,129903
MSI,Home,Intel i3,24,DDR3,1TB,Yes,2TB,AMD,2GB,16.0,Windows 10,80,2.0,101372
Acer,Business,Intel i5,16,DDR4,256GB,Yes,512GB,Integrated,,16.0,Windows 11,60,1.4,78786
Lenovo,Student,Ryzen 7,12,DDR5,2TB,Yes,1TB,AMD,2GB,15.6,Windows 11,50,1.8,110003
Acer,Business,Intel i5,4,DDR3,1TB,No,,Nvidia,8GB,14.0,Windows 10,50,2.6,99682
MSI,Gaming,Intel i5,16,DDR5,2TB,Yes,2TB,Integrated,,16.0,Windows 11,70,1.8,106972
Dell,Student,Intel i3,16,DDR4,2TB,Yes,256GB,Nvidia,8GB,14.0,Windows 10,55,2.3,117996
Samsung,Student,Intel i3,24,DDR3,512GB,Yes,1TB,Integrated,,16.0,Windows 11,70,1.6,83105
Asus,Gaming,Intel i3,12,DDR4,1TB,Yes,512GB,AMD,8GB,13.0,Windows 11,45,1.2,109122
MSI,Business,Ryzen 5,24,DDR3,512GB,Yes,1TB,Integrated,,15.6,Windows 11,70,1.6,97155
Apple,Student,Apple M2,4,Unified,1TB,Yes,256GB,Nvidia,6GB,13.0,macOS,70,1.8,161175
Dell,Home,Ryzen 5,24,DDR3,2TB,Yes,512GB,Integrated,,13.0,Windows 11,50,1.2,106612
MSI,Business,Intel i5,8,DDR5,2TB,Yes,2TB,Nvidia,2GB,14.0,Windows 11,70,1.4,109594
MSI,Business,Ryzen 5,8,DDR4,2TB,No,,Integrated,,15.6,Windows 11,80,2.6,87905
Acer,Business,Intel i5,24,DDR4,1TB,Yes,1TB,Nvidia,4GB,16.0,Windows 10,55,1.8,124857
Acer,Student,Intel i3,12,DDR4,512GB,Yes,1TB,Nvidia,2GB,15.6,Windows 11,60,2.3,82100
Apple,Gaming,Apple M1,24,Unified,1TB,No,,AMD,4GB,13.0,macOS,70,2.3,179807
Dell,Gaming,Intel i3,8,DDR5,256GB,Yes,1TB,Nvidia,2GB,14.0,Windows 10,45,2.0,86293
Samsung,Business,Ryzen 3,12,DDR4,1TB,Yes,256GB,AMD,4GB,13.0,Windows 10,50,1.8,93440
HP,Business,Ryzen 3,12,DDR5,256GB,Yes,256GB,Nvidia,6GB,15.6,Windows 10,60,2.3,95450
Apple,Gaming,Apple M2,12,Unified,512GB,Yes,1TB,Integrated,,16.0,macOS,80,1.6,157886
Lenovo,Home,Ryzen 7,24,DDR4,512GB,Yes,2TB,Nvidia,6GB,13.0,Windows 11,60,2.3,123781
Lenovo,Gaming,Ryzen 3,4,DDR3,1TB,Yes,2TB,Nvidia,6GB,15.6,Windows 11,70,2.3,102693
HP,Student,Ryzen 7,8,DDR5,256GB,Yes,2TB,Integrated,,16.0,Windows 11,80,2.0,73763
Acer,Home,Ryzen 7,24,DDR4,512GB,Yes,512GB,AMD,8GB,15.6,Windows 11,60,2.3,126499
Apple,Gaming,Apple M1,24,Unified,256GB,Yes,1TB,Integrated,,13.0,macOS,45,2.6,155486
Dell,Gaming,Intel i5,16,DDR5,256GB,Yes,2TB,Integrated,,16.0,Windows 11,45,1.8,85080
Samsung,Business,Ryzen 5,16,DDR5,1TB,Yes,2TB,Integrated,,13.0,Windows 10,80,1.4,92737
Asus,Home,Ryzen 3,4,DDR5,256GB,No,,Integrated,,16.0,Windows 11,45,1.6,44349
Lenovo,Gaming,Ryzen 7,16,DDR4,2TB,Yes,2TB,Integrated,,14.0,Windows 11,80,2.6,118848
Asus,Gaming,Ryzen 5,8,DDR5,512GB,Yes,256GB,Nvidia,8GB,16.0,Windows 11,70,1.8,110881
Dell,Business,Intel i7,8,DDR4,256GB,Yes,2TB,AMD,2GB,14.0,Windows 10,50,1.2,88826
HP,Business,Ryzen 5,4,DDR3,2TB,Yes,512GB,Nvidia,2GB,14.0,Windows 10,70,1.6,101918
MSI,Student,Intel i5,24,DDR3,512GB,Yes,1TB,Integrated,,14.0,Windows 11,80,2.3,88499
Apple,Home,Apple M2,16,Unified,1TB,Yes,2TB,Integrated,,16.0,macOS,50,2.6,154406
Apple,Gaming,Apple M1,12,Unified,512GB,Yes,256GB,AMD,8GB,14.0,macOS,60,1.4,165088
Dell,Student,Ryzen 7,12,DDR4,256GB,Yes,512GB,Integrated,,16.0,Windows 10,80,2.0,78939
HP,Home,Intel i5,8,DDR4,1TB,Yes,256GB,Integrated,,14.0,Windows 10,80,1.2,71923
Dell,Gaming,Ryzen 3,12,DDR5,1TB,Yes,1TB,Integrated,,15.6,Windows 10,70,1.8,86817
Asus,Business,Intel i7,12,DDR4,2TB,Yes,512GB,Nvidia,2GB,15.6,Windows 10,70,2.0,125744
Samsung,Student,Intel i5,8,DDR4,2TB,Yes,512GB,AMD,6GB,15.6,Windows 10,60,2.3,104256
Apple,Business,Apple M1,12,Unified,512GB,Yes,2TB,Integrated,,13.0,macOS,70,1.2,129608
HP,Home,Ryzen 3,8,DDR5,256GB,Yes,256GB,Integrated,,16.0,Windows 10,55,1.2,56061
Apple,Business,Apple M1,4,Unified,2TB,Yes,1TB,AMD,6GB,13.0,macOS,70,2.6,160716
Samsung,Gaming,Intel i3,8,DDR5,512GB,Yes,1TB,Nvidia,6GB,16.0,Windows 10,45,1.6,99326
Apple,Gaming,Apple M1,12,Unified,256GB,Yes,256GB,Integrated,,16.0,macOS,60,2.0,136899
HP,Home,Ryzen 7,16,DDR3,2TB,Yes,1TB,AMD,2GB,13.0,Windows 10,50,1.4,120671
Apple,Student,Apple M1,4,Unified,1TB,Yes,256GB,Integrated,,15.6,macOS,45,1.4,121808
Lenovo,Business,Intel i3,24,DDR3,512GB,Yes,2TB,AMD,6GB,16.0,Windows 11,80,1.4,111646
Asus,Student,Intel i3,8,DDR4,256GB,Yes,2TB,Nvidia,6GB,13.0,Windows 10,80,1.6,80690
Apple,Gaming,Apple M2,24,Unified,2TB,Yes,2TB,Integrated,,15.6,macOS,50,2.3,187602
Asus,Student,Intel i5,8,DDR5,2TB,Yes,256GB,Integrated,,15.6,Windows 11,60,1.6,80209
Asus,Gaming,Intel i3,16,DDR4,2TB,Yes,256GB,Integrated,,13.0,Windows 10,70,2.0,100657
Samsung,Home,Intel i7,4,DDR4,512GB,Yes,512GB,AMD,4GB,14.0,Windows 11,55,1.6,84198
Apple,Gaming,Apple M1,8,Unified,2TB,Yes,1TB,AMD,2GB,15.6,macOS,55,1.4,167905
Apple,Gaming,Apple M2,4,Unified,512GB,Yes,2TB,Integrated,,16.0,macOS,55,1.8,142742
Samsung,Gaming,Intel i7,8,DDR5,2TB,Yes,2TB,Nvidia,6GB,16.0,Windows 11,70,2.6,131985
MSI,Business,Intel i7,4,DDR4,512GB,Yes,512GB,AMD,2GB,16.0,Windows 11,80,1.4,89591
Acer,Home,Ryzen 3,12,DDR3,512GB,Yes,512GB,Nvidia,8GB,13.0,Windows 11,60,2.0,96925
Samsung,Business,Ryzen 5,24,DDR4,256GB,Yes,512GB,AMD,6GB,14.0,Windows 10,80,2.0,110362
Samsung,Student,Ryzen 3,4,DDR3,1TB,Yes,512GB,Integrated,,16.0,Windows 10,60,2.6,61566
Lenovo,Student,Intel i3,12,DDR3,2TB,No,,Integrated,,14.0,Windows 11,55,1.6,75810
Apple,Gaming,Apple M2,12,Unified,2TB,Yes,2TB,Integrated,,15.6,macOS,45,2.6,174822
Asus,Home,Intel i7,8,DDR5,512GB,Yes,512GB,Integrated,,16.0,Windows 10,60,1.4,74318
Lenovo,Gaming,Ryzen 7,4,DDR4,512GB,Yes,2TB,Integrated,,14.0,Windows 11,50,1.6,86765
Asus,Home,Ryzen 5,12,DDR4,512GB,Yes,1TB,AMD,8GB,15.6,Windows 10,70,1.8,99007
Samsung,Home,Intel i7,24,DDR4,512GB,Yes,1TB,Nvidia,2GB,14.0,Windows 11,55,1.2,116954
Acer,Home,Intel i5,8,DDR5,2TB,Yes,512GB,AMD,8GB,14.0,Windows 11,60,2.3,108402
Lenovo,Gaming,Ryzen 3,8,DDR3,1TB,Yes,256GB,Nvidia,2GB,16.0,Windows 11,50,1.4,100145
Apple,Business,Apple M2,16,Unified,2TB,Yes,256GB,AMD,4GB,15.6,macOS,45,1.6,185841
Acer,Gaming,Ryzen 3,24,DDR5,256GB,Yes,1TB,Nvidia,6GB,13.0,Windows 11,80,1.8,121475
Dell,Business,Intel i3,4,DDR4,2TB,Yes,256GB,Integrated,,13.0,Windows 10,50,1.4,76816
MSI,Business,Intel i5,8,DDR3,256GB,Yes,1TB,AMD,4GB,15.6,Windows 10,80,1.6,83370
Acer,Home,Intel i5,12,DDR3,512GB,Yes,512GB,Integrated,,15.6,Windows 11,50,2.6,72539
Samsung,Business,Intel i5,16,DDR5,2TB,Yes,256GB,Integrated,,15.6,Windows 11,80,1.6,100724
Apple,Student,Apple M1,4,Unified,2TB,Yes,1TB,Nvidia,8GB,14.0,macOS,60,2.6,160735
Apple,Student,Apple M2,12,Unified,1TB,Yes,512GB,AMD,8GB,15.6,macOS,80,2.6,170396
HP,Home,Ryzen 7,4,DDR3,512GB,Yes,256GB,Nvidia,8GB,14.0,Windows 11,80,1.4,103324
Acer,Gaming,Intel i7,12,DDR5,1TB,Yes,512GB,Integrated,,15.6,Windows 10,80,2.3,100918
Samsung,Home,Ryzen 7,8,DDR3,2TB,Yes,512GB,AMD,8GB,13.0,Windows 10,45,2.3,117814
Asus,Business,Ryzen 7,4,DDR4,512GB,Yes,256GB,Integrated,,15.6,Windows 10,55,1.4,76135
Lenovo,Gaming,Intel i3,8,DDR5,2TB,Yes,512GB,AMD,4GB,16.0,Windows 10,70,2.3,106624
Dell,Home,Intel i3,24,DDR3,2TB,Yes,2TB,Integrated,,14.0,Windows 10,50,1.6,100280
Asus,Gaming,Ryzen 5,4,DDR5,1TB,Yes,512GB,Nvidia,6GB,13.0,Windows 11,50,1.8,108161
Asus,Gaming,Ryzen 3,4,DDR5,1TB,No,,Integrated,,16.0,Windows 10,55,2.0,72594
Lenovo,Business,Intel i3,4,DDR5,256GB,Yes,256GB,Nvidia,8GB,15.6,Windows 10,80,2.3,87104
Samsung,Business,Ryzen 7,24,DDR3,512GB,Yes,1TB,Integrated,,14.0,Windows 11,50,2.0,105676
Samsung,Home,Intel i7,8,DDR5,256GB,Yes,2TB,Integrated,,13.0,Windows 11,55,2.3,72390
Lenovo,Home,Intel i3,4,DDR5,512GB,Yes,1TB,AMD,6GB,14.0,Windows 10,55,1.4,71201
Asus,Home,Intel i7,24,DDR4,256GB,Yes,256GB,AMD,6GB,13.0,Windows 11,60,2.6,116643
Lenovo,Student,Intel i5,24,DDR3,256GB,Yes,256GB,Integrated,,13.0,Windows 11,50,1.2,84864
MSI,Business,Intel i5,24,DDR3,2TB,Yes,512GB,Integrated,,15.6,Windows 10,55,2.6,109638
MSI,Home,Ryzen 5,8,DDR3,256GB,No,,Integrated,,16.0,Windows 10,55,2.6,56545
MSI,Home,Ryzen 5,12,DDR3,512GB,Yes,1TB,Nvidia,4GB,16.0,Windows 11,55,2.0,95041
Dell,Gaming,Intel i5,4,DDR4,512GB,Yes,256GB,Nvidia,2GB,16.0,Windows 10,80,2.3,92519
Asus,Gaming,Ryzen 5,16,DDR4,256GB,No,,Integrated,,15.6,Windows 10,45,1.2,82896
Samsung,Student,Ryzen 3,4,DDR5,512GB,Yes,2TB,Integrated,,13.0,Windows 10,60,2.3,50070
Dell,Student,Intel i7,12,DDR4,1TB,Yes,512GB,Integrated,,14.0,Windows 11,50,2.6,88789
Asus,Gaming,Intel i3,16,DDR4,1TB,Yes,1TB,Nvidia,4GB,16.0,Windows 10,55,1.8,113170
Asus,Home,Intel i5,24,DDR5,256GB,Yes,1TB,Integrated,,14.0,Windows 11,55,1.8,85206
HP,Student,Intel i7,16,DDR3,2TB,Yes,512GB,Integrated,,13.0,Windows 10,50,1.2,100097
HP,Gaming,Intel i5,12,DDR4,256GB,Yes,1TB,Nvidia,2GB,13.0,Windows 10,45,1.4,103291
Apple,Gaming,Apple M1,12,Unified,256GB,Yes,2TB,Integrated,,16.0,macOS,80,1.8,137064
HP,Business,Ryzen 7,12,DDR3,512GB,No,,Integrated,,16.0,Windows 11,50,1.2,86030
Dell,Student,Ryzen 3,16,DDR5,256GB,Yes,2TB,Integrated,,14.0,Windows 11,80,2.6,67307
